Date,Temp,Rain
2015-01-01,2.7,0.0
2015-01-02,3.9,0.0
2015-01-03,4.3,0.0
2015-01-04,6.1,15.0
2015-01-05,8.7,26.6
2015-01-06,8.8,0.2
2015-01-07,6.4,0.0
2015-01-08,6.9,0.0
2015-01-09,7.6,0.4
2015-01-10,6.3,2.2
2015-01-11,6.6,0.2
2015-01-12,7.4,0.0
2015-01-13,5.5,0.0
2015-01-14,5.2,0.0
2015-01-15,5.8,0.0
2015-01-16,9.5,0.0
2015-01-17,6.9,8.6
2015-01-18,9.0,11.0
2015-01-19,8.4,6.0
2015-01-20,5.9,0.0
2015-01-21,4.9,0.0
2015-01-22,6.8,0.0
2015-01-23,9.6,8.0
2015-01-24,10.5,3.2
2015-01-25,10.0,0.0
2015-01-26,8.3,0.0
2015-01-27,8.7,0.0
2015-01-28,8.7,0.0
2015-01-29,7.7,0.0
2015-01-30,7.2,0.0
2015-01-31,5.9,0.0
2015-02-01,7.2,1.0
2015-02-02,8.2,2.0
2015-02-03,8.7,1.4
2015-02-04,7.5,1.6
2015-02-05,9.5,9.6
2015-02-06,11.0,12.0
2015-02-07,10.5,8.8
2015-02-08,10.1,1.2
2015-02-09,9.6,7.0
2015-02-10,10.8,0.0
2015-02-11,9.2,0.0
2015-02-12,9.0,2.0
2015-02-13,10.5,0.0
2015-02-14,9.7,0.0
2015-02-15,8.1,0.2
2015-02-16,9.2,0.0
2015-02-17,9.8,0.0
2015-02-18,9.0,0.0
2015-02-19,9.1,1.4
2015-02-20,9.3,0.2
2015-02-21,8.4,0.0
2015-02-22,7.5,0.0
2015-02-23,7.6,0.0
2015-02-24,8.2,0.0
2015-02-25,6.8,0.8
2015-02-26,8.5,0.0
2015-02-27,7.6,22.2
2015-02-28,8.4,0.2
2015-03-01,5.9,0.0
2015-03-02,6.7,0.0
2015-03-03,6.4,0.0
2015-03-04,5.7,0.0
2015-03-05,7.0,0.0
2015-03-06,9.2,0.0
2015-03-07,10.2,0.0
2015-03-08,9.8,0.0
2015-03-09,8.1,0.0
